epoch,train_loss,pred_loss,var_loss,holdout_loss,latent_std,eff_rank,embed_dim,ema_momentum,lr,epoch_seconds
1,0.29207,0.272243,0.000793,0.247033,0.94823,4.794,96,0.999,0.00015,54.83
2,0.269541,0.269284,1e-05,0.274638,0.94741,5.202,96,0.999,0.0003,54.58
3,0.25912,0.258981,6e-06,0.240018,0.89492,6.506,96,0.99901,0.00029968,55.16
4,0.222413,0.222318,4e-06,0.212842,0.86604,9.789,96,0.99902,0.00029872,54.97
5,0.201804,0.201702,4e-06,0.195102,0.83552,13.549,96,0.99902,0.00029712,54.93
6,0.183981,0.183877,4e-06,0.172082,0.80143,18.363,96,0.99904,0.00029489,54.85
7,0.165437,0.165346,4e-06,0.165762,0.7812,21.892,96,0.99905,0.00029204,54.7
8,0.160184,0.160178,0.0,0.152725,0.74906,23.459,96,0.99906,0.00028858,54.52
9,0.147356,0.147257,4e-06,0.144325,0.7244,25.533,96,0.99908,0.00028453,54.92
10,0.142086,0.142017,3e-06,0.138683,0.70744,26.695,96,0.9991,0.0002799,54.97
11,0.135889,0.13573,6e-06,0.13874,0.69434,27.334,96,0.99911,0.00027472,54.83
12,0.134277,0.134189,4e-06,0.13261,0.67523,29.392,96,0.99914,0.000269,54.91
13,0.131744,0.131553,8e-06,0.132396,0.66743,30.399,96,0.99916,0.00026278,54.91
14,0.129189,0.129059,5e-06,0.129318,0.65738,31.683,96,0.99918,0.00025607,58.58
15,0.127801,0.127684,5e-06,0.129208,0.64515,32.111,96,0.99921,0.0002489,54.69
16,0.126933,0.126816,5e-06,0.125251,0.63555,32.56,96,0.99923,0.00024132,54.89
17,0.126327,0.126089,1e-05,0.128389,0.63266,32.195,96,0.99926,0.00023334,55.08
18,0.127487,0.127336,6e-06,0.127308,0.62574,33.14,96,0.99929,0.000225,54.56
19,0.125558,0.125505,2e-06,0.124626,0.61755,34.085,96,0.99932,0.00021635,54.89
20,0.124548,0.124352,8e-06,0.125215,0.61586,32.754,96,0.99935,0.0002074,55.05
21,0.122806,0.122642,7e-06,0.125211,0.61065,33.413,96,0.99938,0.00019822,54.67
22,0.124968,0.124866,4e-06,0.125833,0.60681,33.404,96,0.99941,0.00018883,54.98
23,0.125682,0.12555,5e-06,0.125452,0.60368,33.925,96,0.99944,0.00017927,55.07
24,0.126583,0.126419,7e-06,0.12744,0.60144,34.057,96,0.99947,0.00016958,54.83
25,0.126612,0.126517,4e-06,0.126716,0.59765,33.772,96,0.9995,0.00015981,54.96
26,0.126596,0.126453,6e-06,0.126831,0.59553,33.793,96,0.99953,0.00015,54.98
27,0.127324,0.127223,4e-06,0.128002,0.59351,31.96,96,0.99956,0.00014019,54.74
28,0.126905,0.126816,4e-06,0.127152,0.59063,33.475,96,0.99959,0.00013042,55.01
29,0.12685,0.126738,4e-06,0.128091,0.58794,33.212,96,0.99962,0.00012074,54.83
30,0.127175,0.1271,3e-06,0.127074,0.58565,33.518,96,0.99965,0.00011118,55.21
31,0.126485,0.12641,3e-06,0.126475,0.58299,33.343,96,0.99968,0.00010179,55.02
32,0.125735,0.125645,4e-06,0.12606,0.58004,32.938,96,0.99971,9.26e-05,54.98
33,0.124706,0.124617,4e-06,0.125621,0.57762,33.222,96,0.99974,8.366e-05,54.94
34,0.125328,0.125294,1e-06,0.125464,0.576,33.8,96,0.99977,7.5e-05,54.86
35,0.124906,0.124823,3e-06,0.125411,0.57337,33.103,96,0.99979,6.667e-05,55.51
36,0.124966,0.124938,1e-06,0.125309,0.57143,33.123,96,0.99982,5.869e-05,55.3
37,0.124642,0.12459,2e-06,0.125247,0.5695,33.411,96,0.99984,5.11e-05,54.71
38,0.124455,0.124404,2e-06,0.124812,0.56805,33.665,96,0.99986,4.394e-05,54.77
39,0.123469,0.123468,0.0,0.123359,0.56531,34.065,96,0.99989,3.723e-05,54.81
40,0.122495,0.122443,2e-06,0.122982,0.5629,33.364,96,0.9999,3.1e-05,55.14
41,0.12202,0.12202,0.0,0.121917,0.56168,34.275,96,0.99992,2.528e-05,55.05
42,0.12081,0.120789,1e-06,0.121045,0.56039,35.141,96,0.99994,2.01e-05,54.93
43,0.12005,0.120048,0.0,0.120327,0.55948,35.386,96,0.99995,1.547e-05,54.86
44,0.119404,0.119399,0.0,0.119743,0.55844,35.355,96,0.99996,1.142e-05,54.9
45,0.118987,0.11898,0.0,0.119359,0.55792,35.72,96,0.99998,7.96e-06,55.01
46,0.118706,0.118695,0.0,0.119082,0.55741,35.85,96,0.99998,5.11e-06,54.87
47,0.118333,0.118333,0.0,0.118855,0.55717,36.084,96,0.99999,2.88e-06,55.13
48,0.118137,0.118136,0.0,0.11871,0.55693,36.004,96,1.0,1.28e-06,54.83
49,0.118029,0.118029,0.0,0.118658,0.55714,36.985,96,1.0,3.2e-07,55.12
50,0.118017,0.118016,0.0,0.118636,0.55698,35.992,96,1.0,0.0,55.33
