epoch,train_loss,pred_loss,var_loss,holdout_loss,latent_std,eff_rank,embed_dim,ema_momentum,lr,epoch_seconds
1,0.33855,0.313901,0.000986,0.211646,0.82449,7.037,96,0.999,0.00015,44.5
2,0.210302,0.210187,5e-06,0.216674,0.95045,5.739,96,0.999,0.0003,42.8
3,0.217776,0.217598,7e-06,0.220273,0.95392,5.638,96,0.99901,0.00029968,42.87
4,0.217972,0.217967,0.0,0.215244,0.9379,6.138,96,0.99902,0.00029872,42.9
5,0.211239,0.211239,0.0,0.207035,0.92673,7.084,96,0.99902,0.00029712,42.85
6,0.202582,0.202582,0.0,0.199347,0.91661,8.287,96,0.99904,0.00029489,42.88
7,0.191285,0.191117,7e-06,0.177439,0.9125,10.941,96,0.99905,0.00029204,42.91
8,0.163843,0.163842,0.0,0.157904,0.90115,13.395,96,0.99906,0.00028858,42.79
9,0.149796,0.149796,0.0,0.146168,0.89433,15.594,96,0.99908,0.00028453,42.86
10,0.138646,0.138646,0.0,0.136147,0.88601,17.291,96,0.9991,0.00027991,42.98
11,0.129009,0.129009,0.0,0.126121,0.87591,18.789,96,0.99911,0.00027472,42.8
12,0.119062,0.119062,0.0,0.116065,0.86466,20.068,96,0.99914,0.00026901,42.8
13,0.109244,0.109244,0.0,0.106667,0.85513,19.926,96,0.99916,0.00026278,42.83
14,0.100109,0.100109,0.0,0.097122,0.84779,19.419,96,0.99918,0.00025607,42.8
15,0.091769,0.091769,0.0,0.089719,0.84043,18.414,96,0.99921,0.00024891,42.86
16,0.085292,0.085292,0.0,0.084023,0.83579,17.717,96,0.99923,0.00024132,42.82
17,0.080846,0.080846,0.0,0.08,0.83171,17.246,96,0.99926,0.00023334,42.83
18,0.077455,0.077455,0.0,0.076648,0.83049,17.07,96,0.99929,0.00022501,42.8
19,0.074424,0.074424,0.0,0.073576,0.82862,16.712,96,0.99932,0.00021635,42.81
20,0.071121,0.071121,0.0,0.070147,0.82556,15.826,96,0.99935,0.00020741,43.03
21,0.067686,0.067686,0.0,0.066539,0.82338,15.566,96,0.99938,0.00019822,42.83
22,0.064214,0.064213,0.0,0.063675,0.821,15.115,96,0.99941,0.00018883,42.9
23,0.060997,0.060997,0.0,0.060102,0.81965,14.48,96,0.99944,0.00017927,43.02
24,0.057734,0.057734,0.0,0.056879,0.81988,14.503,96,0.99947,0.00016959,42.97
25,0.054791,0.054791,0.0,0.053955,0.8169,14.017,96,0.9995,0.00015982,42.84
26,0.052074,0.052074,0.0,0.051439,0.81843,13.884,96,0.99953,0.00015001,42.86
27,0.049698,0.049698,0.0,0.049064,0.81787,13.447,96,0.99956,0.0001402,42.84
28,0.047405,0.047405,0.0,0.046964,0.81737,13.097,96,0.99959,0.00013043,42.89
29,0.045559,0.045559,0.0,0.045233,0.81858,12.843,96,0.99962,0.00012074,42.82
30,0.043703,0.043703,0.0,0.04341,0.81888,12.486,96,0.99965,0.00011118,42.85
31,0.041963,0.041963,0.0,0.041768,0.81854,12.034,96,0.99968,0.00010179,42.98
32,0.040487,0.040487,0.0,0.040352,0.81811,11.656,96,0.99971,9.26e-05,42.77
33,0.039046,0.039046,0.0,0.039108,0.81985,11.764,96,0.99974,8.366e-05,43.03
34,0.037971,0.037971,0.0,0.037973,0.81862,11.311,96,0.99977,7.501e-05,42.83
35,0.036929,0.036929,0.0,0.037053,0.81697,10.929,96,0.99979,6.667e-05,42.86
36,0.036012,0.036012,0.0,0.036153,0.81912,10.809,96,0.99982,5.869e-05,42.84
37,0.035209,0.035209,0.0,0.035433,0.81994,10.828,96,0.99984,5.11e-05,42.98
38,0.034565,0.034565,0.0,0.034765,0.81778,10.215,96,0.99986,4.394e-05,42.81
39,0.033876,0.033876,0.0,0.034158,0.81861,10.2,96,0.99989,3.723e-05,42.88
40,0.033363,0.033363,0.0,0.033615,0.82037,10.39,96,0.9999,3.1e-05,42.98
41,0.0329,0.0329,0.0,0.033239,0.81818,9.882,96,0.99992,2.528e-05,42.82
42,0.032535,0.032535,0.0,0.032897,0.82005,10.09,96,0.99994,2.01e-05,42.85
43,0.032199,0.032199,0.0,0.032647,0.8181,9.744,96,0.99995,1.547e-05,42.88
44,0.03197,0.03197,0.0,0.032431,0.82008,9.975,96,0.99996,1.142e-05,42.85
45,0.031817,0.031817,0.0,0.032261,0.81934,10.029,96,0.99998,7.96e-06,42.83
46,0.031655,0.031655,0.0,0.032168,0.81774,9.755,96,0.99998,5.11e-06,42.85
47,0.031556,0.031556,0.0,0.032098,0.81722,9.586,96,0.99999,2.88e-06,42.89
48,0.031496,0.031495,0.0,0.032052,0.8162,9.467,96,1.0,1.28e-06,42.86
49,0.031525,0.031525,0.0,0.032037,0.81785,9.548,96,1.0,3.2e-07,42.82
50,0.031493,0.031493,0.0,0.032035,0.81819,9.712,96,1.0,0.0,42.86
