epoch,train_loss,pred_loss,var_loss,holdout_loss,latent_std,eff_rank,embed_dim,ema_momentum,lr,epoch_seconds
1,0.272828,0.253465,0.000775,0.217899,0.95835,8.022,96,0.999,0.00015,84.05
2,0.198187,0.198005,7e-06,0.202992,0.9245,12.31,96,0.999,0.0003,84.66
3,0.203874,0.203719,6e-06,0.203156,0.86604,14.621,96,0.99901,0.00029968,86.86
4,0.181734,0.181731,0.0,0.172475,0.80674,18.805,96,0.99902,0.00029872,101.6
5,0.174528,0.174221,1.2e-05,0.172377,0.78622,22.122,96,0.99902,0.00029712,93.04
6,0.158166,0.158052,5e-06,0.154916,0.7395,23.66,96,0.99904,0.00029489,103.01
7,0.148722,0.148593,5e-06,0.145995,0.70391,26.224,96,0.99905,0.00029204,146.03
8,0.147471,0.147324,6e-06,0.14758,0.69132,26.826,96,0.99906,0.00028858,163.54
9,0.141439,0.141287,6e-06,0.147771,0.67413,27.267,96,0.99908,0.00028453,163.91
10,0.140187,0.139908,1.1e-05,0.140823,0.65726,27.291,96,0.9991,0.0002799,143.52
11,0.1412,0.141002,8e-06,0.143325,0.65353,26.16,96,0.99911,0.00027472,155.45
12,0.140606,0.140399,8e-06,0.142805,0.64383,27.689,96,0.99914,0.000269,155.47
13,0.138821,0.138636,7e-06,0.139176,0.63213,26.894,96,0.99916,0.00026278,155.59
14,0.139104,0.138889,9e-06,0.141763,0.63056,28.116,96,0.99918,0.00025607,101.06
15,0.139532,0.139235,1.2e-05,0.138253,0.62225,27.785,96,0.99921,0.0002489,88.48
16,0.139744,0.139526,9e-06,0.140918,0.62257,26.773,96,0.99923,0.00024132,95.87
17,0.138029,0.137826,8e-06,0.141191,0.61915,26.276,96,0.99926,0.00023334,130.23
18,0.139,0.138765,9e-06,0.141972,0.61722,26.711,96,0.99929,0.000225,108.22
19,0.140675,0.140484,8e-06,0.142406,0.61586,26.823,96,0.99932,0.00021634,93.19
20,0.142469,0.142274,8e-06,0.143051,0.61617,26.505,96,0.99935,0.0002074,91.4
21,0.138936,0.138767,7e-06,0.138264,0.60772,27.341,96,0.99938,0.00019822,116.13
22,0.138719,0.138514,8e-06,0.139547,0.60714,27.051,96,0.99941,0.00018882,137.83
23,0.138859,0.138639,9e-06,0.141808,0.6073,26.546,96,0.99944,0.00017927,162.38
24,0.140414,0.140236,7e-06,0.141432,0.60533,26.807,96,0.99947,0.00016958,163.73
25,0.138962,0.13882,6e-06,0.139402,0.60212,27.686,96,0.9995,0.00015981,125.26
26,0.137307,0.137156,6e-06,0.138526,0.59884,27.287,96,0.99953,0.00015,90.25
27,0.137016,0.136905,4e-06,0.137253,0.59525,26.984,96,0.99956,0.00014019,95.69
28,0.137346,0.13721,5e-06,0.138391,0.59545,26.396,96,0.99959,0.00013042,116.63
29,0.136704,0.136537,7e-06,0.137979,0.5934,26.475,96,0.99962,0.00012074,164.93
30,0.136934,0.13674,8e-06,0.138014,0.59241,26.248,96,0.99965,0.00011118,164.9
31,0.135495,0.1354,4e-06,0.136104,0.58884,26.496,96,0.99968,0.00010179,164.62
32,0.134558,0.134453,4e-06,0.135609,0.58572,27.038,96,0.99971,9.26e-05,92.1
33,0.133958,0.133853,4e-06,0.135021,0.58377,27.39,96,0.99974,8.366e-05,87.68
34,0.133632,0.133512,5e-06,0.13455,0.5817,26.78,96,0.99977,7.5e-05,93.02
35,0.132901,0.13281,4e-06,0.133972,0.57934,27.468,96,0.99979,6.667e-05,163.17
36,0.132478,0.132371,4e-06,0.133862,0.57745,26.808,96,0.99982,5.869e-05,164.38
37,0.131807,0.131735,3e-06,0.132266,0.57501,26.904,96,0.99984,5.11e-05,165.25
38,0.130547,0.130464,3e-06,0.131461,0.57192,27.13,96,0.99986,4.394e-05,136.35
39,0.129351,0.129296,2e-06,0.130367,0.56974,26.512,96,0.99989,3.723e-05,154.95
40,0.128426,0.128331,4e-06,0.129125,0.56751,26.491,96,0.9999,3.1e-05,156.18
41,0.127142,0.127108,1e-06,0.12774,0.56525,27.342,96,0.99992,2.528e-05,156.07
42,0.126186,0.126141,2e-06,0.126945,0.56293,27.178,96,0.99994,2.01e-05,154.86
43,0.12504,0.125033,0.0,0.125717,0.56076,26.698,96,0.99995,1.547e-05,155.54
44,0.124131,0.124115,1e-06,0.125,0.55935,26.925,96,0.99996,1.142e-05,136.97
45,0.123363,0.123314,2e-06,0.124307,0.55818,27.741,96,0.99998,7.96e-06,93.63
46,0.122709,0.122687,1e-06,0.123769,0.55695,27.32,96,0.99998,5.11e-06,163.28
47,0.12225,0.122248,0.0,0.123355,0.55608,27.592,96,0.99999,2.88e-06,163.31
48,0.122098,0.122096,0.0,0.123151,0.5565,27.32,96,1.0,1.28e-06,164.04
49,0.121797,0.121794,0.0,0.123054,0.55658,27.745,96,1.0,3.2e-07,153.52
50,0.121855,0.121854,0.0,0.123018,0.55665,27.431,96,1.0,0.0,154.81
