model,patients,windows,windows_own,mae_window_weighted,mae_patient_weighted,mae_patient_median,mae_patient_p90,rmse_patient_weighted,mard_patient_weighted
jepa864,336,967521,967521,10.898896595870616,10.89816657356603,10.442245046327063,14.515603220828355,16.26499873154454,7.8528272823936
jepa288,336,967521,1469436,10.92734593529925,10.977058227872888,10.550744433803743,14.785941229926216,16.3850105084562,7.94006693477213
jepa128,336,967521,1667437,11.299104274394733,11.449791058344866,10.874085430160948,14.986012468434344,16.991421286856564,8.42849249911451
jepa128-64,336,967521,1667437,11.703041759989361,11.618197981407228,11.113562836422844,15.233183682126697,17.07876388070544,8.640447702802387
sugar_one_baseline,336,967521,1733576,11.604559143074587,11.834420226565793,11.106104365875225,15.919430528351162,17.691507419401702,8.287336577299632
